Ano,Mês,Vereador,Especificação,Credor,CNPJ,Valor Total,Saldo
2024,7,CARLOS MESQUITA,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,639.0,10487.63
2024,7,CARLOS MESQUITA,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,140.28,10347.35
2024,7,CARLOS MESQUITA,Despesas com Telefonia Móvel,TIM S.A,02.421.421/0001-11,125.8,10221.55
2024,7,CARLOS MESQUITA,Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,4511.26,5710.29
2024,7,CARLOS MESQUITA,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5670.0,40.29
2024,7,CLAÚDIA GOMES,Vale Combustível,PRIME LTDA,05.340.639/0001-30,5192.0,21946.13
2024,7,CLAÚDIA GOMES,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4720.0,17226.13
2024,7,CLAÚDIA GOMES,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,14866.13
2024,7,CLAÚDIA GOMES,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,270.0,14596.13
2024,7,CLAÚDIA GOMES,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,213.72,14382.41
2024,7,CLAÚDIA GOMES,Despesas com  Selos Regular,CORREIOS E TELEGRAFOS,34028316234791,5418.75,8963.66
2024,7,CLAÚDIA GOMES,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,7000.0,1963.66
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Vale Combustível,PRIME LTDA,05.340.639/0001-30,5192.0,21946.13
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4720.0,17226.13
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,300.0,16926.13
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,270.0,16656.13
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Despesas com Serviço Gráfico,GRÁFICA ESTRELA,07.097.989/0001-42,6777.18,9878.95
2024,7,CONSUL DO POVO ( ERIVALDO XAVIER),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,9440.0,438.95
2024,7,DANILO LOPES,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.06,19268.07
2024,7,DANILO LOPES,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13848.07
2024,7,DANILO LOPES,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2710.0,11138.07
2024,7,DANILO LOPES,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,594.0,10544.07
2024,7,DANILO LOPES,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5500.0,5044.07
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7085.0,20053.13
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.0,14626.13
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.0,11913.13
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,1035.0,10878.13
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,387.94,10490.19
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,4420.0,6070.19
2024,7,DIDI MANGUEIRA ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5800.0,270.19
2024,7,DR VICENTE,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6700.0,20438.13
2024,7,DR VICENTE,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4550.0,15888.13
2024,7,DR VICENTE,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2200.0,13688.13
2024,7,DR VICENTE,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,900.0,12788.13
2024,7,DR VICENTE,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,7238.28,5549.85
2024,7,EMANUEL ACRIZIO,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7792.0,19346.13
2024,7,EMANUEL ACRIZIO,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13926.13
2024,7,EMANUEL ACRIZIO,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2710.0,11216.13
2024,7,EMANUEL ACRIZIO,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,360.0,10856.13
2024,7,EMANUEL ACRIZIO,Despesas com Serviço Gráfico,SOLUÇÃO GRÁFICA,19.386.760/0001-07,5635.5,5220.63
2024,7,EMANUEL ACRIZIO,Despesas com locação de veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5040.0,180.63
2024,7,ESTRELA BARROS,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7692.0,19446.13
2024,7,ESTRELA BARROS,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4720.0,14726.13
2024,7,ESTRELA BARROS,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2300.0,12426.13
2024,7,ESTRELA BARROS,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,720.0,11706.13
2024,7,ESTRELA BARROS,Despesas com  Telefonia Móvel,CLARO S.A,40.432.544/0001-47,78.79,11627.34
2024,7,ESTRELA BARROS,Despesas com Telefonia Móvel,TIM S.A,02.421421/0001-11,62.9,11564.44
2024,7,ESTRELA BARROS,Despesas com Serviço Gráfico,GRÁFICA ESTRELA,07.097.989/0001-42,6689.55,4874.89
2024,7,ESTRELA BARROS,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,4812.0,62.89
2024,7,EUDES BRINGEL,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6300.0,20838.13
2024,7,EUDES BRINGEL,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5320.0,15518.13
2024,7,EUDES BRINGEL,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,13158.13
2024,7,EUDES BRINGEL,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,720.0,12438.13
2024,7,EUDES BRINGEL,Despesas com serviços gráficos,GRÁFICA ESTRELA,07.097.989/0001-42,6485.06,5953.07
2024,7,EUDES BRINGEL,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,5900.0,53.07
2024,7,GABRIEL AGUIAR,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6200.0,20938.13
2024,7,GABRIEL AGUIAR,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5400.0,15538.13
2024,7,GABRIEL AGUIAR,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2100.0,13438.13
2024,7,GABRIEL AGUIAR,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,2655.0,10783.13
2024,7,GABRIEL AGUIAR,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,5670.0,5113.13
2024,7,GABRIEL AGUIAR,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,3224.0,1889.13
2024,7,GARDEL ROLIM,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7500.0,19638.13
2024,7,GARDEL ROLIM,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5300.0,14338.13
2024,7,GARDEL ROLIM,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,600.0,13738.13
2024,7,GARDEL ROLIM,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,225.0,13513.13
2024,7,GARDEL ROLIM,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,120.67,13392.46
2024,7,GARDEL ROLIM,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,6510.0,6882.46
2024,7,GARDEL ROLIM,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,4345.0,2537.46
2024,7,GERMANO HEMAN,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6192.0,20946.13
2024,7,GERMANO HEMAN,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.0,15519.13
2024,7,GERMANO HEMAN,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,13159.13
2024,7,GERMANO HEMAN,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,13159.13
2024,7,GERMANO HEMAN,Despesas com Telefonia Móvel,CLARO S.A,40.432.544/0001/47,78.79,13080.34
2024,7,GERMANO HEMAN,Despesas com Telefonia Móvel,TIM S.A,02.421.421/0001-11,894.35,12185.99
2024,7,GERMANO HEMAN,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,10850.0,1335.99
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7844.0,19294.13
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13874.13
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2710.0,11164.13
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,11164.13
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Despesas com Telefonia Móvel,CLARO S.A,40.432.544/0001/47,78.79,11085.34
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5900.0,5185.34
2024,7,HEITOR HOLANDA  ( SUPLENTE ),Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,5180.72,4.62
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.0,19268.13
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5426.8,13841.33
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.8,11127.53
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,639.0,10488.53
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001-62,37.99,10450.54
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Despesas com Telefonia Móvel,TIM S.A,02.421.421/0001-11,62.9,10387.64
2024,7,IRAGUASSÚ FILHO ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,10200.0,187.64
2024,7,JORGE PINHEIRO,Vale Combustível,PRIME LTDA,05.340.639/0001-30,5100.0,22038.13
2024,7,JORGE PINHEIRO,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.0,16611.13
2024,7,JORGE PINHEIRO,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.0,13898.13
2024,7,JORGE PINHEIRO,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,297.0,13601.13
2024,7,JORGE PINHEIRO,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,0.0,13601.13
2024,7,JORGE PINHEIRO,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,0.0,13601.13
2024,7,JOSÉ FREIRE,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.06,19268.07
2024,7,JOSÉ FREIRE,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5200.0,14068.07
2024,7,JOSÉ FREIRE,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2000.0,12068.07
2024,7,JOSÉ FREIRE,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,12068.07
2024,7,JOSÉ FREIRE,Despesas com Serviço Gráfico(Ref:Maio),GRÁFICA RDS,02.265.186/0001-36,0.0,12068.07
2024,7,JOSÉ FREIRE,Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,0.0,12068.07
2024,7,JOSÉ FREIRE,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,12068.07
2024,7,JÚLIO BRIZZI,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.0,19268.13
2024,7,JÚLIO BRIZZI,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,13840.5
2024,7,JÚLIO BRIZZI,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,1026.07,12814.43
2024,7,JÚLIO BRIZZI,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,2430.0,10384.43
2024,7,JÚLIO BRIZZI,Despesas com  Telefonia Móvel,CLARO S.A,40.432.544/0001/47,0.0,10384.43
2024,7,JÚLIO BRIZZI,Despesas com Serviço Gráfico(Ref:Maio),GRÁFICA RDS,02.265.186/0001-36,0.0,10384.43
2024,7,JÚLIO BRIZZI,Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,0.0,10384.43
2024,7,JÚLIO BRIZZI,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,06.621.791/0001-53,0.0,10384.43
2024,7,KÁTIA RODRIGUES,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7044.0,20094.13
2024,7,KÁTIA RODRIGUES,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5400.0,14694.13
2024,7,KÁTIA RODRIGUES,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,12334.13
2024,7,KÁTIA RODRIGUES,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,12334.13
2024,7,KÁTIA RODRIGUES,Despesas com Serviço Gráfico,GRÁFICA SOLUÇÃO,19.386.760/0001-07,0.0,12334.13
2024,7,KÁTIA RODRIGUES,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,12334.13
2024,7,KÁTIA RODRIGUES,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,12334.13
2024,7,LÉO COUTO,Vale Combustível,PRIME LTDA,05.340.639/0001-30,5100.0,22038.13
2024,7,LÉO COUTO,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,3000.0,19038.13
2024,7,LÉO COUTO,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,16678.13
2024,7,LÉO COUTO,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,16678.13
2024,7,LÉO COUTO,Despesas com Consult. Jurid.(Ref: Maio),E.A. ADVOCACIA,50.744.970/0001-70,0.0,16678.13
2024,7,LÉO COUTO,Despesas com Consultoria Jurídica,E.A. ADVOCACIA,50.744.970/0001-70,0.0,16678.13
2024,7,LÉO COUTO,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,16678.13
2024,7,LÉO COUTO,Despesas com Consultoria Jurídica,E.A. ADVOCACIA,50.744.970/0001-70,0.0,16678.13
2024,7,LUCIANO GIRÃO,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7844.0,19294.13
2024,7,LUCIANO GIRÃO,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13874.13
2024,7,LUCIANO GIRÃO,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.0,11161.13
2024,7,LUCIANO GIRÃO,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,594.0,10567.13
2024,7,LUCIANO GIRÃO,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,0.0,10567.13
2024,7,LUCIANO GIRÃO,Despesas com  Telefonia Móvel,CLARO S.A,40.432.544/0001/47,0.0,10567.13
2024,7,LUCIANO GIRÃO,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,10567.13
2024,7,LUCIANO GIRÃO,Despesas com Consultoria Jurídica,ANTº. ALBUQUERQUE ADVOCACIA,47.730.644/0001-07,0.0,10567.13
2024,7,LÚCIO BRUNO,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.0,19268.13
2024,7,LÚCIO BRUNO,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,13840.5
2024,7,LÚCIO BRUNO,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.81,11126.69
2024,7,LÚCIO BRUNO,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,11126.69
2024,7,LÚCIO BRUNO,Despesas com Telefonia Móvel,TIM S.A,02.421421/0001-11,0.0,11126.69
2024,7,LÚCIO BRUNO,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,11126.69
2024,7,LÚCIO BRUNO,Despesas com serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,0.0,11126.69
2024,7,MARCELO LEMOS,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6712.19,20425.94
2024,7,MARCELO LEMOS,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,14998.31
2024,7,MARCELO LEMOS,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.81,12284.5
2024,7,MARCELO LEMOS,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,12284.5
2024,7,MARCELO LEMOS,Despesas com Serviço Gráfico(Ref:Maio),GRÁFICA RDS,02.265.186/0001-96,0.0,12284.5
2024,7,MARCELO LEMOS,Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-96,0.0,12284.5
2024,7,MARCELO LEMOS,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,0.0,12284.5
2024,7,MARCELO MENDES ( SUPLENTE ),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7100.0,20038.13
2024,7,MARCELO MENDES ( SUPLENTE ),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5400.0,14638.13
2024,7,MARCELO MENDES ( SUPLENTE ),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2700.0,11938.13
2024,7,MARCELO MENDES ( SUPLENTE ),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,1350.0,10588.13
2024,7,MARCELO MENDES ( SUPLENTE ),Despesas com Comunicação e Divulgação de Mandato,PRM COMUNIC. GESTÃO EMPRES. LTDA,37.842.306/0001-03,5200.0,5388.13
2024,7,MARCELO MENDES ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5050.0,338.13
2024,7,MÁRCIO MARTINS,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.06,19268.07
2024,7,MÁRCIO MARTINS,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,13840.44
2024,7,MÁRCIO MARTINS,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.81,11126.63
2024,7,MÁRCIO MARTINS,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,207.0,10919.63
2024,7,MÁRCIO MARTINS,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,1900.4,9019.23
2024,7,MÁRCIO MARTINS,Despesas com  Telefonia Móvel,CLARO S.A,40.432.544/0001/47,126.29,8892.94
2024,7,MÁRCIO MARTINS,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5670.0,3222.94
2024,7,MÁRCIO MARTINS,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,3222.0,0.94
2024,7,MICHEL LINS,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6844.0,20294.13
